company,date,description,venue,profession,hospitality,attendees,cost,hospitalityCost,originalHospitalityCost,originalCost,originalAttendees,nurses,pharmacists,gps,mentalhealth,rehab,oncologists,other,spendratio
abbott,2007-12-01,30 min Clinical Paper Review: Treating HIV,Holdsworth House Surgery; Oxford St; Darlinghurst Sydney NSW,Specialists (Infectious Diseases),Lunch: Food/beverages,8,122,122,$122,$122,8,0,0,0,0,0,0,1,15
abbott,2007-12-01,30 min Presentation: Obesity & Hypertension,Endocrinolgy Department Box Hill Hospital VIC,Endocrinologists & nurses,Breakfast: Food/beverages,8,104,104,$104,$104,8,1,0,0,0,0,0,0,13
abbott,2007-12-01,45 min Journal Club: Immunology,Immunology Concord Hospital; Sydney NSW,Specialists (Infectious Diseases),Breakfast: Food/beverages,7,99,99,$99,$99,7,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Konditori Café; Launceston Tas,Urologists,Breakfast: Food/beverages,5,51,51,$51,$51,5,0,0,0,0,0,0,1,10
abbott,2007-12-01,45 min Presentation: Treating Rheumatoid Arthritis,Sir Charles Gairdner Hospital; Nedlands WA,Rheumatologists,Lunch: Food/beverages,10,120,120,$120,$120,10,0,0,0,0,0,0,1,12
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Austin Hospital; Urology Department Vic,Urologists,Breakfast: Food/beverages,13,153,153,$153,$153,13,0,0,0,0,0,0,1,12
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Scribbly Gum Café; Gosford NSW,Urologists,Lunch: Food/beverages,2,38,38,$38,$38,2,0,0,0,0,0,0,1,19
abbott,2007-12-01,1 hr Registrar Training: The Science Behind Abbott Sevoflurane,Royal Perth Hospital; WA,Anaesthetists,Lunch: Food/beverages,22,147,147,$147,$147,22,0,0,0,0,0,0,1,7
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Novotel Hotel; Olympic Park; Homebush Bay NSW,GPs,Dinner: Food/beverages + parking,28,4155,2345,$2;345,$4;155,28,0,0,1,0,0,0,0,148
abbott,2007-12-01,30 min Presentation: The Science Behind Abbott Sevoflurane,The Hills Private Hospital; NSW,Anaesthetists,Afternoon Tea: Food/beverages,16,94,94,$94,$94,16,0,0,0,0,0,0,1,6
