Venue,State,Country
Crowne Plaza Norwest; Baulkham Hills,NSW,Australia
Swiss Grand Hotel; Bondi,NSW,Australia
The Hermitage; Leumeah,NSW,Australia
Lexie's Restaurant; Narellan,,
Rydge's Parramatta,NSW,Australia
Villa D'Ora Wollongong,NSW,Australia
Gemelle Ristorante Italiano; LIVERPOOL,NSW,Australia
Abhi's Indian Restaurant; North Strathfield,NSW,Australia
K-Pauls Restaurant; New Orleans,Louisiana,USA
Marriott Hotel; Surfer's Paradise,QLD,Australia
Doc Cheng's Restaurant,,
Starbucks restaurant,,
Jumbo's Restaurant,,
Sheraton Mirage Gold Coast,QLD,Australia
Zen Restaurant; Conrad Jupiters Casino,QLD,Australia
Trainers Rooms Neutral Bay,NSW,Australia
Preiou Blues Restaurant,,
Allamda Private Hospital - Gold Coast,QLD,Australia
Trainers Rooms Neutral Bay,NSW,Australia
The Sebel - Maroochydore,QLD,Australia
The Sebel - Maroochydore,QLD,Australia
Jaspers Restaurant; Hunters Hill,,
Sheraton Mirage Gold Coast,QLD,Australia
Cairns Convention Centre; Cairns,QLD,Australia
Diva at the Met Restaurant; Vancouver,,Canada
Auckland University The Grove Restaurant; Auckland,Auckland,New Zealand
The Allamanda Hospital - Gold Coast,QLD,Australia
Trainers Rooms Neutral Bay,NSW,Australia
The Sebel - Maroochydore,QLD,Australia
The Sebel - Maroochydore,QLD,Australia
The Mixing Pot; Glebe,NSW,Australia
Shira Nui; Glen Waverly,VIC,Australia
Auckland University Vinnies Restaurant; Auckland,Auckland,New Zealand
Burswood Entertainment Complex,,
Gloria Jeans; Toowong,QLD,Australia
Trainers Rooms Neutral Bay,NSW,Australia
Trainers Rooms Darlinghurst,NSW,Australia
So Foody; Penrith,NSW,Australia
Crown Plaza Hotel; Parramatta,NSW,Australia
Concord Function Centre; Concord,NSW,Australia
Canley Hts Vietnamese Restaurant; Canley Heights,NSW,Australia
Crinti's Restaurant; Parramatta,NSW,Australia
Liquidity; Pyrmont,NSW,Australia
Barbaby's; Parramatta,NSW,Australia
Le Sands Restaurant; Brighton,,
The Copthorne Hotel; Christchurch,,New Zealand
The Villa Doro; Wollongong,NSW,Australia
Midwest GP Network Division Headquarters,,
Medical Centre; Rockhampton,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Gold Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Toowoomba Region,QLD,Australia
Medical Centre; Toowoomba Region,QLD,Australia
Medical Centre; Toowoomba Region,QLD,Australia
Medical Centre; Toowoomba Region,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; CairnsRegion,QLD,Australia
Medical Centre; Whitsunday Region,QLD,Australia
Medical Centre; Whitsunday Region,QLD,Australia
Medical Centre; Whitsunday Region,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Medical Centre; Sunshine Coast,QLD,Australia
Greenmount Beach Resort; Gold Coast,QLD,Australia
Coral Cay Resort; Mackay,QLD,Australia
Café Essence,,
12 Monkeys; Hervey Bay,,
Landmark; Sunnybank,QLD,Australia
Ramanda; Ballina,NSW,Australia
MoMo's; Townsville,QLD,Australia
Coral Cay Resort; Mackay,QLD,Australia
Cellini; Heidelberg,VIC,Australia
Hanuman; Alice Springs,NT,Australia
"Enoteca, RICHMOND",VIC,Australia
"Enoteca, RICHMOND",VIC,Australia
Glencoe; Box Hill,VIC,Australia
Quaffs; Toorak,VIC,Australia
Hunaman; Alice Sprongs,NT,Australia
Mater Public,,
Austin Repat,,
Rendezvous Sanctuary Resort- Function,,
Moryua,,
Crowne,,
Sunshine Coast,QLD,Australia
Maroondah Hospital,VIC,Australia
Maroondah Hospital,VIC,Australia
Pavillion Function,,
Westmead Children’s Hospital;,NSW,Australia
Hampstead Dialysis Unit;,,
St Vincent's Hospital,,
"Monash Medical Centre, Clayton",VIC,Australia
"Monash Medical Centre, Clayton",VIC,Australia
Thursday 1 st November: Campton Place; San Francisco; California Friday 2 nd November: Jardinière Restaurant; San Francisco; California Friday 2 nd November: Foreign,California,USA
Campton Place; San Francisco; California,California,USA
Robina Hospital,QLD,Australia
"Royal Prince Alfred Hospital, Camperdown",NSW,Australia
"Royal North Shore Hospital, St Leonards",NSW,Australia
Ruth's Chris Steak,,
Cabrini Hospital,VIC,Australia
Westmead Children’s,NSW,Australia
Goulburn Hospital; Goulburn Valley -VIC,,
"Royal North Shore Hospital, St Leonards",NSW,Australia
Royal Australian College of Surgeons;,,
Closed Symposium Dinner ECNP National Vienna Austtria,Vienna,Austria
Dynasty Chinese Seafood Restaurant,,
Plaza Coffee Shop,,
Paesano Ristorante; San Antonio,Texas,USA
Cairns Base Auditorium,QLD,Australia
Royal Nth Shore Hosp,NSW,Australia
North West regional hospital - Burnie,TAS,Australia
St George Hospital ; Kogarah; NSWCancer Seminar room,NSW,Australia
Ausgusta Road Calvary hospital - pharmacy,,
